sRGBA,r,g,b,a
1,185,45,87,255
2,100,91,167,255
3,185,45,87,255
4,185,45,87,255
5,185,45,87,255
6,185,45,87,255
7,185,45,87,255
8,185,45,87,255
9,185,45,87,255
10,185,45,87,255
11,185,45,87,255
12,100,91,167,255
13,185,45,87,255
14,185,45,87,255
15,185,45,87,255
16,185,45,87,255
17,185,45,87,255
18,185,45,87,255
18,185,45,87,255
19,185,45,87,255
20,185,45,87,255
21,100,91,167,255
22,185,45,87,255
23,185,45,87,255
24,185,45,87,255
25,185,45,87,255
26,185,45,87,255
27,185,45,87,255
28,185,45,87,255
29,185,45,87,255
30,100,91,167,255
31,185,45,87,255
32,185,45,87,255
33,185,45,87,255
