sRGBA,r,g,b,a
1,158,5,81,255
2,180,35,236,255
3,149,34,68,255
4,149,34,68,255
5,149,34,68,255
6,149,34,68,255
7,158,5,81,255
8,139,50,50,255
9,149,34,68,255
10,158,5,81,255
11,149,34,68,255
12,31,134,134,255
13,158,5,81,255
14,139,50,50,255
15,149,34,68,255
16,149,34,68,255
17,139,50,50,255
18,158,5,81,255
18,158,5,81,255
19,149,34,68,255
20,158,5,81,255
21,31,134,134,255
22,149,34,68,255
23,149,34,68,255
24,149,34,68,255
25,139,50,50,255
26,149,34,68,255
27,158,5,81,255
28,149,34,68,255
29,149,34,68,255
30,119,109,197,255
31,149,34,68,255
32,158,5,81,255
33,149,34,68,255
